id,clinic_name,clinic_address_1
1,Henry and Sons Clinic,"No.281/A, 15, APJ Kalam Kamaraj Road, Hospital Road, Pennagaram, Dharmapuri, Tamil Nadu - 636730. Ph: 04342-4920339"
3,Barnes-Owens Clinic,"No.742/B, 5, Anna School Road, Alagar Kovil Road, Thirumangalam, Madurai, Tamil Nadu - 625014. Ph: 0452-3683362"
5,"Jones, Jones and Arnold Clinic","No.300, 41, Nehru 1st Street, Club Road, Gudalur, Nilgiris, Tamil Nadu - 643166. Ph: 0423-9202079"
6,Rodriguez Group Clinic,"No.854, 9, Bharathiar 2nd Street, Kumaran Road, Udumalpet, Tiruppur, Tamil Nadu - 641642. Ph: 0421-4900713"
7,Goodwin-Jacobs Clinic,"No.174/2, 44, Patel Hospital Road, Old Trunk Road, Tiruppur, Tiruppur, Tamil Nadu - 641628. Ph: 0421-8287698"
8,Donaldson PLC Clinic,"No.55/A, 42, Bharathiar Hospital Road, Gandhi Nagar, Aranthangi, Pudukottai, Tamil Nadu - 622327. Ph: 04322-9622509"
9,"Arellano, Hill and Tran Clinic","No.134/B, 48, Kamaraj New Street, Perumal Koil Street, Kondalampatti, Salem, Tamil Nadu - 636006. Ph: 0427-2921121"
10,Sanchez-Sanchez Clinic,"No.625/B, 20, Vinayagar Cross Street, Kalavasal, Thirumangalam, Madurai, Tamil Nadu - 625019. Ph: 0452-2131285"
11,Williams and Sons Clinic,"No.896/A, 37, Patel Periyar Street, 1st Main Road, Velachery, Chennai, Tamil Nadu - 600028. Ph: 044-2449469"
12,Chan Group Clinic,"No.941/B, 42, Subash Market Street, Old Bus Stand Road, Vedasandur, Dindigul, Tamil Nadu - 624055. Ph: 0451-3320462"
13,Joyce LLC Clinic,"No.434/A, 40, Kamaraj Ambedkar Road, Salai Road, Uthiramerur, Kancheepuram, Tamil Nadu - 631520. Ph: 044-6195430"
14,Simmons and Sons Clinic,"No.771, 25, Periyar Hospital Road, High Ground Road, Tenkasi, Tirunelveli, Tamil Nadu - 627013. Ph: 0462-6832430"
15,Pennington-Johnson Clinic,"No.952/A, 12, Ambedkar Nehru Street, Station Road, Tambaram, Kancheepuram, Tamil Nadu - 631513. Ph: 044-2739052"
16,Krause PLC Clinic,"No.27/B, 19, Indira South Street, Gandhiji Road, Sathyamangalam, Erode, Tamil Nadu - 638007. Ph: 0424-9232851"
17,Kim-Anderson Clinic,"No.210/A, 20, Murugan Cross Street, Market Street, Rasipuram, Namakkal, Tamil Nadu - 637390. Ph: 04286-8126483"
18,"Schroeder, Carter and Villanueva Clinic","No.768/2, 30, Rajiv New Street, Sankari Road, Rasipuram, Namakkal, Tamil Nadu - 637072. Ph: 04286-8338450"
19,Smith-Duffy Clinic,"No.618, 19, Rajaji West Street, Sathyamangalam Road, Pollachi, Coimbatore, Tamil Nadu - 641020. Ph: 0422-5772809"
20,White LLC Clinic,"No.683/1, 15, Indira Anna Street, Kumaran Road, Palladam, Tiruppur, Tamil Nadu - 641653. Ph: 0421-8297952"
21,Wade-King Clinic,"No.917, 9, Rajiv Nehru Street, DB Road, Tirupur, Coimbatore, Tamil Nadu - 641088. Ph: 0422-2917245"
22,Martin-Mason Clinic,"No.250, 21, Subash East Street, Trichy Road, Pudukkottai, Pudukottai, Tamil Nadu - 622114. Ph: 04322-9936185"
23,Hartman-Tucker Clinic,"No.454/B, 2, Kamaraj Nehru Street, Ammapet, Rasipuram, Salem, Tamil Nadu - 636009. Ph: 0427-7290009"
24,Kaufman Group Clinic,"No.862/2, 35, Nehru Ambedkar Road, Old Mahabalipuram Road, Chennai, Chennai, Tamil Nadu - 600105. Ph: 044-3391593"
25,"Matthews, Figueroa and Friedman Clinic","No.746/B, 17, Rajiv New Street, Gandhi Street, Villupuram, Villupuram, Tamil Nadu - 605233. Ph: 04146-3773932"
26,"Castillo, Erickson and Chapman Clinic","No.476, 50, Bharathiar North Street, Oppanakara Street, Pollachi, Coimbatore, Tamil Nadu - 641044. Ph: 0422-7945886"
27,Gomez Ltd Clinic,"No.497, 5, Perumal Tank Street, Cuddalore Road, Tindivanam, Villupuram, Tamil Nadu - 605289. Ph: 04146-2616390"
28,Garcia-Miller Clinic,"No.621/A, 12, APJ Kalam Cross Street, Sankari Road, Kumarapalayam, Namakkal, Tamil Nadu - 637027. Ph: 04286-8027475"
