id,drug_name,generic_name,drug_strength,dosage_type,clinic
1,Metformin,Aspirin,650mg,Capsule,17912
2,Metformin,Paracetamol,5ml,Injection,8861
3,Aspirin,Paracetamol,250mg,Tablet,17501
4,Cetirizine,Amoxicillin,500mg,Syrup,18648
5,Paracetamol,Aspirin,500mg,Syrup,19629
6,Ibuprofen,Amoxicillin,250mg,Tablet,13677
7,Amoxicillin,Aspirin,500mg,Injection,3484
8,Aspirin,Aspirin,5ml,Injection,4881
9,Amoxicillin,Aspirin,500mg,Injection,16343
10,Metformin,Paracetamol,250mg,Tablet,14749
11,Cetirizine,Metformin,250mg,Tablet,8387
12,Paracetamol,Aspirin,5ml,Syrup,8220
13,Paracetamol,Ibuprofen,250mg,Tablet,6061
14,Paracetamol,Aspirin,500mg,Syrup,2477
15,Paracetamol,Metformin,250mg,Tablet,10668
16,Paracetamol,Amoxicillin,5ml,Injection,8587
17,Metformin,Paracetamol,650mg,Tablet,11868
18,Amoxicillin,Ibuprofen,250mg,Tablet,19778
19,Ibuprofen,Cetirizine,650mg,Injection,18280
20,Metformin,Metformin,250mg,Injection,13434
21,Cetirizine,Paracetamol,650mg,Injection,5465
22,Paracetamol,Aspirin,650mg,Syrup,10524
23,Ibuprofen,Cetirizine,650mg,Tablet,13589
24,Metformin,Amoxicillin,250mg,Capsule,3347
25,Amoxicillin,Paracetamol,5ml,Syrup,18160
26,Amoxicillin,Ibuprofen,500mg,Tablet,18506
27,Ibuprofen,Ibuprofen,5ml,Tablet,17017
28,Amoxicillin,Metformin,650mg,Syrup,13748
29,Amoxicillin,Paracetamol,250mg,Capsule,1976
30,Amoxicillin,Paracetamol,250mg,Syrup,10191
31,Amoxicillin,Metformin,650mg,Tablet,8719
32,Paracetamol,Paracetamol,250mg,Syrup,9516
33,Amoxicillin,Amoxicillin,500mg,Tablet,13720
34,Aspirin,Aspirin,5ml,Injection,6373
35,Aspirin,Aspirin,5ml,Capsule,6552
36,Cetirizine,Metformin,250mg,Tablet,8827
37,Amoxicillin,Cetirizine,5ml,Tablet,5562
38,Paracetamol,Amoxicillin,250mg,Tablet,14024
39,Cetirizine,Paracetamol,650mg,Injection,17728
40,Cetirizine,Aspirin,500mg,Tablet,6584
41,Amoxicillin,Aspirin,250mg,Capsule,4080
42,Ibuprofen,Aspirin,500mg,Tablet,10883
43,Metformin,Metformin,250mg,Injection,18343
44,Cetirizine,Cetirizine,250mg,Capsule,18459
