id,clinic_name,clinic_address_1
1,"Henry and Sons Clinic","No.195, 24, Indira West Street, Old Town Road, Kurumbalur, Perambalur, Tamil Nadu - 621138. Ph: 04328-5772415"
2,"Shelton-Bell Clinic","No.612/1, 42, Rajaji South Street, Hospital Road, Sembanarkoil, Mayiladuthurai, Tamil Nadu - 609497. Ph: 04364-3307573"
3,"Barnes-Owens Clinic","No.336/B, 4, Vinayagar Old Street, Bypass Road, Periyakulam, Theni, Tamil Nadu - 625575. Ph: 04546-4192275"
4,"Perkins Group Clinic","No.982/A, 14, Anna North Street, Mattuthavani Road, Usilampatti, Madurai, Tamil Nadu - 625002. Ph: 0452-8415745"
5,"Jones, Jones and Arnold Clinic","No.14/1, 33, Rajiv Raja Street, Perumal Koil Street, Omalur, Salem, Tamil Nadu - 636010. Ph: 0427-6727954"
6,"Rodriguez Group Clinic","No.112/2, 32, Kamaraj Cross Street, Poonamallee High Road, Mylapore, Chennai, Tamil Nadu - 600085. Ph: 044-2070282"
7,"Goodwin-Jacobs Clinic","No.879/1, 40, Bharathiar Anna Street, Chennai Road, Tiruvannamalai, Tiruvannamalai, Tamil Nadu - 606610. Ph: 04175-3700496"
8,"Donaldson PLC Clinic","No.900/2, 47, Periyar Cross Street, Beach Road, Panruti, Cuddalore, Tamil Nadu - 607758. Ph: 04142-7492728"
9,"Arellano, Hill and Tran Clinic","No.463/1, 2, Mariamman Hospital Road, Kamaraj Road, Dharapuram, Tiruppur, Tamil Nadu - 641630. Ph: 0421-5558850"
10,"Sanchez-Sanchez Clinic","No.857/1, 2, Patel 1st Street, Gandhi Nagar, Pudukkottai, Pudukottai, Tamil Nadu - 622436. Ph: 04322-7455124"
11,"Williams and Sons Clinic","No.844, 32, APJ Kalam North Street, Kamaraj Salai, Paravai, Madurai, Tamil Nadu - 625012. Ph: 0452-3696603"
12,"Chan Group Clinic","No.133, 30, Vivekananda Old Street, Hospital Road, Kollidam, Mayiladuthurai, Tamil Nadu - 609256. Ph: 04364-8304656"
13,"Joyce LLC Clinic","No.878/2, 2, Ambedkar 1st Street, Cross Cut Road, RS Puram, Coimbatore, Tamil Nadu - 641108. Ph: 0422-3760675"
