Drug Name,Generic Name,Drug Strength,Dosage Type,Clinic Name,Clinic District,Current Stock,Predicted Demand,Suggested Restock,Status,Contributing Diseases,Period
Amoxicillin,Amoxicillin trihydrate,500mg,Syrup,"Acosta, Terry and Grant Clinic",Tiruvarur,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,650mg,Injection,Acosta-Armstrong Clinic,Omalur,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Injection,Acosta-Brown Clinic,Omalur,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,250mg,Tablet,Acosta-Taylor Clinic,Oddanchatram,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,500mg,Injection,Adams Group Clinic,Cheyyar,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Capsule,Adams Group Clinic,Nungambakkam,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Capsule,Adams LLC Clinic,Mylapore,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Capsule,Adams LLC Clinic,Mylapore,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,250mg,Tablet,"Adams, Burke and Jensen Clinic",Tambaram,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Injection,"Adams, Davis and Rowe Clinic",Singanallur,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,650mg,Tablet,"Adams, Davis and Rowe Clinic",Singanallur,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Tablet,"Adams, Jefferson and Meyer Clinic",Sattur,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,650mg,Injection,"Adams, Johnson and Weaver Clinic",Chennai,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,650mg,Injection,"Adams, Parker and Zimmerman Clinic",Chromepet,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Capsule,"Adams, Tran and Frank Clinic",Pattukottai,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Syrup,Adkins-Schultz Clinic,Rasipuram,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Capsule,Adkins-Wiley Clinic,Sendurai,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Injection,"Aguilar, Sheppard and Gutierrez Clinic",Vaniyambadi,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,5ml,Capsule,"Aguilar, Sheppard and Gutierrez Clinic",Vaniyambadi,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,250mg,Syrup,Aguilar-Lawrence Clinic,Namakkal,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,500mg,Syrup,Aguilar-Ross Clinic,Tambaram,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,250mg,Injection,"Aguirre, Diaz and Tyler Clinic",Bhuvanagiri,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,250mg,Capsule,"Alexander, Haney and Smith Clinic",Ambur,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,250mg,Injection,"Alexander, Ramos and Campbell Clinic",Peelamedu,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,250mg,Capsule,Alexander-Anderson Clinic,Kumarapalayam,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,500mg,Injection,Alexander-Anderson Clinic,Kumarapalayam,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
Amoxicillin,Amoxicillin trihydrate,650mg,Injection,"Ali, Dixon and Lawrence Clinic",Kunnam,0,5032.6,5032,critical,"Allergy, Hypertension, Arthritis, COVID-19, Asthma",2026-02-21 to 2026-03-23
